driverId,week,hours-logged,miles-logged
35,23,59,900
44,31,54,2800
72,5,58,2100
55,47,60,2600
74,19,54,900
92,29,65,3800
16,49,63,2500
69,24,53,1500
27,27,79,1000
90,44,80,4000
71,4,63,2800
58,37,62,1400
109,43,68,700
91,27,66,1800
43,40,52,3700
76,31,51,800
48,15,56,500
28,20,57,100
108,3,72,1000
83,28,72,2700
46,26,77,300
58,33,77,1500
48,26,73,800
73,27,55,1400
87,40,78,200
12,36,76,1100
105,5,59,3100
26,46,52,4000
90,43,54,4000
80,21,54,2700
22,48,66,3000
69,12,53,2300
50,35,58,3600
47,52,53,2400
106,42,75,0
71,47,52,800
21,13,54,1100
31,5,57,500
50,12,69,500
43,17,71,1600
87,8,74,3400
62,38,53,1600
23,24,57,1600
55,29,77,100
53,45,65,700
23,16,71,1400
77,30,66,2300
64,44,61,2600
51,8,60,2100
51,12,65,2000
35,39,72,3200
84,39,78,1000
15,37,72,3200
96,13,53,3300
31,38,56,3700
72,44,57,1400
95,9,63,3200
36,15,55,400
50,44,54,2000
22,48,61,2600
23,39,58,3500
18,46,68,600
14,37,77,2600
101,10,79,2500
24,41,66,600
12,20,68,2900
27,35,54,3800
66,5,79,500
67,32,75,3500
23,5,73,200
106,50,60,3500
100,36,74,3900
26,10,58,3700
106,40,61,800
102,6,70,4000
11,39,51,1800
76,42,73,1000
71,17,68,3800
91,22,76,200
95,24,64,0
30,11,56,900
34,34,65,1900
52,25,65,2200
51,25,78,3600
91,39,66,0
66,39,60,700
18,7,51,2300
59,8,70,2200
42,4,78,2200
11,1,65,2900
106,33,57,3600
82,46,55,1800
34,29,68,900
12,37,62,3800
21,49,61,3900
103,45,69,2000
79,49,59,4000
44,35,52,2100
101,32,58,3100
48,4,73,3500
103,7,54,1700
53,31,61,900
76,27,51,2800
97,47,57,3100
79,52,69,2500
30,12,80,3200
105,5,59,3400
42,24,76,1300
73,29,58,1600
70,40,78,2600
66,37,70,2400
107,48,65,3400
37,33,58,2800
49,32,56,1900
38,3,67,3200
45,38,73,1200
102,16,58,3100
24,20,53,2300
68,14,72,1300
96,23,52,1700
34,47,70,1300
10,46,78,2400
26,25,76,2000
78,37,73,1700
79,40,63,1500
48,16,51,900
106,42,50,300
85,32,64,2700
48,19,60,1200
108,39,73,500
95,22,58,900
61,16,50,900
32,12,69,0
73,33,78,1900
11,33,77,3900
20,28,51,400
78,41,59,2800
53,30,79,700
28,5,63,1000
67,42,79,3600
37,32,50,4000
103,47,52,2300
52,30,65,1400
38,43,67,3700
94,33,60,2400
86,31,71,500
76,37,68,800
92,50,79,600
54,3,73,3800
24,47,73,1600
88,6,74,1900
86,11,52,3400
26,12,72,300
37,36,78,500
66,43,56,3600
37,11,52,4000
10,10,53,3800
50,36,53,200
91,7,78,2800
56,11,61,3700
19,12,56,300
61,8,55,2100
76,35,51,1400
62,49,53,1800
50,27,55,400
59,32,51,3500
53,12,72,3100
14,49,78,2600
66,28,60,3500
70,49,79,3700
52,31,59,2300
100,23,67,1600
91,32,70,2200
98,49,55,3000
16,20,50,3200
52,40,78,1200
50,48,65,3900
58,39,62,1700
42,15,74,2100
108,51,58,1500
55,20,77,2200
62,41,67,2400
76,20,68,2900
61,30,74,1800
58,9,67,500
29,8,64,1400
77,33,57,1400
29,16,56,400
54,32,51,1500
10,30,63,2200
69,22,56,2900
105,24,56,3300
41,40,58,3100
83,29,70,2800
64,47,52,600
102,45,52,700
107,30,68,1300
20,49,62,2300
88,19,80,3000
53,34,70,0
45,33,61,1700
57,37,67,600
64,28,74,3300
26,42,67,2300
91,41,63,3800
38,28,71,3800
49,9,68,3300
91,5,78,600
44,46,71,100
53,31,73,3700
23,45,68,2900
90,36,79,1700
56,29,70,2100
75,28,60,400
54,29,80,3500
13,38,59,2100
28,48,72,1200
50,44,65,2600
50,46,69,2100
57,24,74,2400
97,47,52,3100
68,28,51,2900
56,11,56,2800
79,44,58,1500
62,31,66,2800
90,41,74,2300
66,51,54,3700
41,6,66,1500
71,18,58,3400
39,16,56,1200
11,9,59,2800
89,17,68,2900
106,22,73,1700
73,8,79,3000
48,16,61,1800
15,23,52,800
39,52,65,3000
93,34,71,1500
32,19,79,2200
106,39,62,2700
67,24,51,100
26,50,66,800
17,42,55,2600
91,52,62,3900
21,1,76,2200
51,23,60,1400
99,20,56,0
71,52,62,500
21,1,70,1500
109,20,62,1300
44,31,55,400
108,47,58,200
10,17,74,1400
99,36,69,1700
38,43,53,600
45,36,68,3800
62,24,72,2400
58,20,53,2400
11,43,76,2700
73,25,73,300
64,49,69,1500
46,11,76,1800
60,45,51,3700
104,44,68,1500
28,44,70,900
22,1,53,200
102,24,56,2800
39,48,51,2100
93,24,52,2800
58,19,57,300
15,17,55,3800
101,19,57,1400
12,51,76,300
96,36,53,2900
41,12,64,2300
12,6,54,800
43,20,65,3900
18,48,77,3200
16,29,79,400
105,51,56,2700
66,5,71,700
39,27,58,3200
88,15,61,200
80,2,60,2400
41,45,62,1700
106,30,52,2200
15,3,63,500
89,47,59,3200
107,41,71,2300
93,41,72,3900
103,15,76,3500
109,32,60,1300
24,23,67,1900
77,46,79,1800
68,40,66,3200
49,38,75,2800
61,11,62,2700
36,33,77,1100
105,2,77,3500
36,46,79,2900
108,43,69,1500
66,12,57,3100
21,21,58,1100
59,19,76,1000
57,10,72,4000
54,2,63,3900
97,48,72,800
96,5,62,2100
14,35,65,100
16,34,63,1800
104,16,70,3000
33,2,59,3800
83,30,61,2500
18,42,72,300
96,10,76,3800
62,44,73,3300
34,26,59,4000
54,49,51,1600
46,50,68,2400
18,50,73,2100
18,49,65,3700
72,41,58,2000
96,6,51,700
61,25,73,800
